category,endpoint_name,method,base_url,path_or_query,accessibility,authentication,documented_rate_limit,observed_probe,stability,documentation_quality,wallet_intelligence_suitability,primary_join_keys,relevant_fields,known_limitations,next_sprint_use
Gamma metadata,Open interest,GET,https://data-api.polymarket.com,/oi?market={condition_id},public,no auth,Data general 1000 req/10s,docs verified,medium-high,medium,market participation/liquidity context,condition_id,"market,value","not wallet-specific; snapshot may not align with historical trade timestamp","later"
Gamma metadata,Live volume for event,GET,https://data-api.polymarket.com,/volume?eventId={event_id},public,no auth,Data general 1000 req/10s,docs verified,medium,medium,event liquidity/volume context,event_id,"volume by event","route parameters should be confirmed; not first-order for expiry","later"
Gamma discovery,Public search,GET,https://gamma-api.polymarket.com,/public-search?q={query}&limit={n},public,no auth,350 req/10s,"200 for q=bitcoin&limit=1",medium-high,medium,manual source discovery and wallet/market search,"query,slug,wallet_id","events,markets,profiles search results","not deterministic enough for core joins; useful for manual discovery only","later"
Gamma discovery,Tags and related tags,GET,https://gamma-api.polymarket.com,"/tags,/tags/{id},/tags/slug/{slug}",public,no auth,200 req/10s,"200 for /tags?limit=1",medium-high,high,market classification enrichment,"tag_id,tag_slug","tag labels,relationships","not needed for lifecycle expiry","later"
Gamma discovery,Series,GET,https://gamma-api.polymarket.com,"/series,/series/{id}",public,no auth,Gamma general 4000 req/10s,"200 for /series?limit=1",medium-high,high,recurring market grouping,"series_id,slug","series title,type,recurrence,active,closed","not needed for current fast crypto expiry join","later"
Gamma profile,Public profile,GET,https://gamma-api.polymarket.com,/public-profile?address={wallet},public,no auth,Gamma general 4000 req/10s,docs verified,high,high,profile resolution and metadata,"wallet_id,proxy_wallet","createdAt,proxyWallet,profileImage,pseudonym,name,verifiedBadge","profile metadata only; no trade history","later"
Data wallet,User activity,GET,https://data-api.polymarket.com,/activity?user={wallet}&type=TRADE&limit={n}&offset={n},public,no auth,Data general 1000 req/10s,"200 for seed wallet limit=1",high,high,primary public wallet trade/activity timeline,"wallet_id,condition_id,token_id,event_slug,market_slug,transaction_hash","timestamp,type,size,usdcSize,transactionHash,price,asset,outcome,outcomeIndex,slug,eventSlug","bounded pagination can omit earlier entries/exits; activity types need explicit filters","existing-input"
Data wallet,Trades for user or markets,GET,https://data-api.polymarket.com,/trades?user={wallet}&limit={n}&offset={n},public,no auth,200 req/10s,"200 for seed wallet limit=1",high,high,cross-check for public trade rows,"wallet_id,condition_id,token_id,transaction_hash","side,asset,conditionId,size,price,timestamp,slug,eventSlug,outcome,transactionHash","default takerOnly=true can affect completeness; not enough for queue priority","existing-cross-check"
Data wallet,Current positions,GET,https://data-api.polymarket.com,/positions?user={wallet}&limit={n},public,no auth,150 req/10s,"200 empty array for seed wallet limit=1",high,high,current exposure and endDate snapshot,"wallet_id,condition_id,token_id,event_slug","size,avgPrice,currentValue,cashPnl,realizedPnl,curPrice,redeemable,mergeable,endDate","snapshot can be empty after exits; PnL fields are forbidden for Wallet Score","later-context"
Data wallet,Closed positions,GET,https://data-api.polymarket.com,/closed-positions?user={wallet}&limit={n}&offset={n},public,no auth,150 req/10s,"200 for seed wallet limit=1",high,high,closed-position metadata and redemption hints,"wallet_id,condition_id,token_id,event_slug","avgPrice,totalBought,realizedPnl,curPrice,timestamp,endDate,outcome","limit max 50 per page; PnL fields not allowed for score; timestamp semantics need validation","later-context"
Data wallet,Total position value,GET,https://data-api.polymarket.com,/value?user={wallet},public,no auth,Data general 1000 req/10s,"200 for seed wallet",high,medium,profile aggregate only,wallet_id,"value","not useful for structural Wallet Score; value can imply mark-to-market and should remain out of v1 scoring","no"
Data wallet,Total markets traded,GET,https://data-api.polymarket.com,/traded?user={wallet},public,no auth,Data general 1000 req/10s,"200 for seed wallet",high,medium,profile activity breadth,wallet_id,"traded count","aggregate only; no timing or market detail","later-context"
Data wallet,Accounting snapshot,GET,https://data-api.polymarket.com,/accounting?user={wallet},public documented,no auth,Data general 1000 req/10s,docs verified,medium,medium,possible exported wallet accounting source,wallet_id,"CSV ZIP accounting rows","not probed; may include value/profit fields that are forbidden for scoring","later-review"
Data analytics,Leaderboard rankings,GET,https://data-api.polymarket.com,/leaderboard,public documented,no auth,Data general 1000 req/10s,"404 for guessed /leaderboard route",medium,medium,wallet discovery seed source,wallet_id,"ranked public traders","route path must be taken from docs exactly before use; risk of performance-selection bias","later"
Data analytics,Builder analytics,GET,https://data-api.polymarket.com,"/builders endpoints",public documented,no auth,Data general 1000 req/10s,docs verified,medium,medium,not directly relevant to wallet copyability,"builder_id,date","builder volume/leaderboard","not wallet behavior; out of current scope","no"
CLOB mapping,CLOB market info,GET,https://clob.polymarket.com,/clob-markets/{condition_id},public,no auth,CLOB general 9000 req/10s,"200 for historical and sampling condition IDs",high,high,strong token/outcome mapping cross-check,"condition_id,token_id","tokens,outcomes,min_order_size,tick_size,rewards,fees,RFQ flags","compact field names require normalization; not an expiry source","yes-cross-check"
CLOB discovery,Simplified markets,GET,https://clob.polymarket.com,/simplified-markets?limit={n},public,no auth,CLOB general 9000 req/10s,"200 for limit=1",medium-high,high,CLOB market discovery and token list,"condition_id,token_id","condition_id,tokens,rewards","can return closed/non-accepting markets; use bounded only","later"
CLOB discovery,Sampling markets,GET,https://clob.polymarket.com,/sampling-markets?limit={n},public,no auth,CLOB general 9000 req/10s,"200 for limit=1",medium-high,high,find orderbook-enabled sample markets,"condition_id,token_id","active,closed,accepting_orders,enable_order_book,tokens","not a wallet-history join source","later"
CLOB pricing,Order book,GET,https://clob.polymarket.com,/book?token_id={token_id},public,no auth,1500 req/10s,"200 for sampling token; 404 for historical/closed token",medium,high,liquidity and slippage research for active tokens,token_id,"bids,asks,timestamp,hash,min_order_size,tick_size,last_trade_price","not reliable for expired wallet-history tokens; snapshot only","later"
CLOB pricing,Market price,GET,https://clob.polymarket.com,/price?token_id={token_id}&side={BUY|SELL},public,no auth,1500 req/10s,"200 for sampling token; 404 for historical/closed token",medium,high,best bid/ask snapshot for active token,token_id,"price","snapshot only; unavailable for many historical tokens","later"
CLOB pricing,Midpoint,GET,https://clob.polymarket.com,/midpoint?token_id={token_id},public,no auth,1500 req/10s,"200 for sampling token; 404 for historical/closed token",medium,high,mark-to-market snapshot for active token,token_id,"mid","snapshot only; can be stale/unavailable","later"
CLOB pricing,Spread,GET,https://clob.polymarket.com,/spread?token_id={token_id},public,no auth,1500 req/10s,"200 for sampling token; 404 for historical/closed token",medium,high,slippage/liquidity proxy for active token,token_id,"spread","snapshot only; unavailable after closure","later"
CLOB pricing,Last trade price,GET,https://clob.polymarket.com,/last-trade-price?token_id={token_id},public,no auth,CLOB market data limits,"200 for historical and sampling tokens",medium-high,high,last observed token trade price,token_id,"price,side","not complete trade history; default values possible if no trades","later"
CLOB pricing,Prices history,GET,https://clob.polymarket.com,/prices-history?market={token_id}&interval={max|all|1h},public,no auth,1000 req/10s,"200 for sampling token with interval=max/all/1h; 400 with interval=1m+fidelity on probe",medium-high,high,historical token price path for mark-to-market research,token_id,"history.t,history.p","requires correct interval parameters; historical coverage by token must be measured","later"
CLOB pricing,Batch prices history,POST,https://clob.polymarket.com,/batch-prices-history,public,no auth,CLOB market data limits,docs verified,medium-high,high,bounded multi-token price-history fetch,token_id,"history by token","POST body; use only bounded batches; not needed for expiry first","later"
CLOB websocket,Market channel,WSS,wss://ws-subscriptions-clob.polymarket.com,/ws/market,public,no auth for market channel,not listed separately,docs verified,medium,high,real-time orderbook/trade/market event stream,token_id,"book,price_change,last_trade_price,best_bid_ask,new_market,market_resolved","streaming capture is out of current sprint; custom features may be needed for some event types","later"
CLOB websocket,User channel,WSS,wss://ws-subscriptions-clob.polymarket.com,/ws/user,not public,requires API credentials,not listed separately,docs verified,high but excluded,high,excluded by safety boundary,wallet_id,"personal order/trade updates","requires authenticated credentials and is outside Wallet Intelligence boundaries",no-excluded
RTDS,Real-Time Data Socket,WSS,wss://ws-live-data.polymarket.com,root websocket,partly public,some user streams require gamma_auth,not found,docs verified,medium,medium,external crypto/comment/equity stream context,"asset,timestamp","crypto prices,comments,equity prices","not a wallet-history or expiry source; auth uncertainty for user-specific streams","later"
On-chain,Polygon CTF/Exchange events,JSON-RPC/explorer,Polygon public RPC or block explorer,contract logs,public,no wallet key for reads,provider-specific,not probed,medium,low-medium,settlement/redemption provenance and transfer-level audit,"transaction_hash,condition_id,token_id,wallet_id","transfers,trades,redemptions,merge/split,settlement txs","requires contract inventory, ABI normalization, chain indexing, and careful assumptions","later"
Resolution,Resolution source URLs,GET,various external sources,market resolutionSource,public varies,no auth varies,source-specific,observed in Gamma market metadata,medium,medium,market-rule and final-outcome provenance,"market_slug,condition_id,resolutionSource","official source URL,rule text","not standardized; can be Chainlink/Binance/other; not enough alone for Polymarket settlement","later"
